farmid,year,prod,area,labor,fert,educ
330,1992,0.87,0.40,29,10.5,6
330,1993,1.20,0.40,26,20.0,6
330,1994,1.06,0.40,20,21.0,6
330,1995,0.95,0.40,16,22.3,6
330,1996,1.06,0.40,27,35.7,6
330,1997,0.09,0.25,8,13.0,14
331,1990,3.82,0.75,39,44.0,6
331,1991,1.79,0.75,45,44.0,6
331,1992,2.81,0.75,35,42.0,6
331,1993,2.53,0.75,72,56.0,6
331,1994,2.35,0.75,32,31.5,6
331,1995,3.13,0.75,31,69.8,6
331,1996,1.06,0.75,26,48.1,6
331,1997,3.62,0.75,22,48.1,6
332,1990,1.15,0.81,25,67.0,10
332,1991,2.30,0.81,31,67.0,10
332,1992,2.81,0.81,32,54.5,10
332,1993,3.53,0.81,72,69.3,10
332,1994,2.38,0.81,36,67.2,10
332,1995,1.51,0.61,50,70.6,10
332,1996,1.84,0.61,30,90.5,10
332,1997,6.16,0.81,43,73.2,10
333,1990,5.06,1.60,102,110.5,6
333,1991,5.06,1.60,102,120.5,6
333,1992,4.55,1.60,80,102.0,6
333,1993,2.30,0.60,51,41.0,6
333,1994,5.15,1.40,52,132.0,6
333,1995,2.54,0.60,29,91.3,6
333,1996,1.33,0.60,23,57.6,6
333,1997,2.80,0.60,36,47.7,6
334,1990,0.69,1.00,29,21.0,6
334,1991,0.64,1.00,22,21.0,6
334,1992,1.15,1.00,31,23.0,6
334,1993,1.66,1.00,63,10.0,6
334,1994,0.60,1.00,18,10.5,6
334,1995,2.00,1.00,46,73.1,6
334,1996,1.89,1.00,48,83.9,6
334,1997,1.93,1.00,28,170.3,6
335,1990,12.65,3.00,191,306.5,6
335,1991,7.54,2.00,89,157.5,6
335,1992,6.95,2.00,122,105.0,6
335,1993,6.49,2.00,121,111.0,6
335,1994,5.61,2.00,135,261.0,6
335,1995,7.77,2.40,152,256.0,6
335,1996,8.91,2.40,146,224.9,6
335,1997,10.72,2.40,136,216.3,6
336,1990,2.07,1.10,101,125.5,6
336,1991,3.08,1.10,79,102.4,6
336,1992,2.94,1.10,69,67.0,6
336,1993,4.83,2.10,104,165.0,6
336,1994,4.83,2.10,120,133.5,6
336,1995,4.83,2.10,92,118.0,6
336,1996,3.82,2.10,89,138.3,6
336,1997,7.64,2.10,86,204.4,6
337,1990,5.06,1.00,58,145.0,10
337,1991,5.29,1.00,74,144.5,10
337,1992,5.52,1.00,51,194.5,10
337,1993,5.75,1.00,59,264.0,10
337,1994,3.17,1.00,60,63.0,10
337,1995,3.91,1.00,61,121.4,10
337,1996,2.21,1.00,43,44.0,10
337,1997,3.22,1.00,54,67.5,10
338,1990,17.02,4.60,246,249.0,10
338,1991,13.71,4.60,236,262.0,10
338,1992,16.24,4.60,219,375.5,10
338,1993,12.17,4.60,139,193.0,10
338,1994,9.89,4.60,193,379.5,10
338,1995,2.90,0.60,37,69.7,10
338,1996,2.35,0.60,33,68.2,10
338,1997,3.68,0.60,26,73.4,10
339,1990,1.38,0.80,46,33.5,6
339,1991,0.92,0.80,30,33.5,6
339,1992,1.38,0.80,27,21.0,6
339,1993,1.84,0.80,34,20.0,6
339,1994,1.61,0.40,22,21.0,6
339,1995,1.53,0.40,20,31.9,6
339,1996,1.10,0.40,27,46.1,6
339,1997,1.52,0.80,26,24.4,6
340,1990,3.96,1.75,113,167.5,6
340,1991,3.36,1.75,99,167.5,6
340,1992,4.00,1.75,78,151.0,6
340,1993,4.46,1.75,99,151.5,6
340,1994,4.83,1.75,124,150.0,6
340,1995,5.11,1.75,158,149.0,6
340,1996,2.76,1.50,78,156.3,6
340,1997,5.50,1.75,62,180.9,6
341,1990,4.14,1.30,80,79.5,6
341,1991,5.06,1.30,70,67.0,6
341,1992,5.06,1.30,73,68.5,6
341,1993,3.68,1.30,62,30.0,6
341,1994,2.30,1.30,50,31.5,6
341,1995,4.60,1.30,73,22.7,6
341,1996,2.76,1.30,50,36.5,6
341,1997,5.29,1.30,51,54.2,6
342,1990,8.60,2.30,76,109.0,10
342,1991,7.64,2.30,85,132.0,10
342,1992,7.54,2.30,83,161.0,10
342,1993,5.11,2.30,60,114.9,10
342,1994,3.59,1.65,62,99.8,10
342,1995,7.22,2.30,126,237.0,10
342,1996,4.97,2.30,74,157.1,10
342,1997,7.68,2.30,82,205.0,10
343,1990,1.79,1.50,87,94.5,6
343,1991,1.75,1.50,90,115.5,6
343,1992,2.71,1.00,66,70.3,6
343,1993,3.31,2.00,67,68.0,6
343,1994,5.61,2.00,96,94.5,6
343,1995,7.78,1.75,97,129.4,6
343,1996,3.70,1.75,35,107.1,6
343,1997,7.73,2.00,81,118.4,6
