farmid,year,prod,area,labor,fert
208,1997,6.6199999,1.7,100,205.5
209,1990,9.1999998,3,211,166.39999
209,1991,9.8900003,3,160,178.5
209,1992,9.8900003,3,141,253
209,1993,8.9700003,3,211,183
209,1994,8.4200001,3,136,210
209,1995,7.8200002,3,200,189
209,1996,7.8200002,3,97,231.8
209,1997,8.6499996,3,91,172
210,1990,9.29,3.4000001,193,253.8
210,1991,8.5600004,3.4000001,152,318.5
210,1992,12.19,3.4000001,175,283
210,1993,11.22,3.1500001,147,253
210,1994,5.6999998,2.7,141,283.5
210,1995,10.58,2.7,132,290.10001
210,1996,8.6000004,2.7,180,331
210,1997,12.56,2.7,209,320.5
211,1990,.82999998,.55000001,36,40.200001
211,1991,1.1,.55000001,49,71.800003
211,1992,1.38,.60000002,33,55.5
211,1993,3.04,1.55,58,43
211,1994,1.98,1.55,50,43.5
211,1995,4,1.55,61,95.599998
211,1996,1.9299999,1.55,59,82.099998
211,1997,3.8299999,1.55,58,98.900002
212,1990,.92000002,.2,13,16.799999
212,1991,.92000002,.2,26,16.799999
212,1992,.92000002,.2,15,37
212,1993,1.29,.2,11,24.799999
212,1994,.77999997,.2,18,26.4
212,1995,1.17,.25,17,11.6
212,1996,1.4299999,.25,28,23.1
212,1997,1.7,.25,20,30.6
213,1990,3.9100001,1.25,80,66
213,1991,2.8499999,1.25,80,70.5
213,1992,3.96,1.25,81,73.5
213,1993,3.45,1.25,111,81
213,1994,3.04,1.25,84,147
213,1995,3.5,1.25,87,69.400002
213,1996,3.6500001,1.25,54,135.5
213,1997,4.7399998,1.25,77,129.60001
214,1990,7.4499998,3,155,135
214,1991,6.3000002,3,123,156.7
214,1992,6.3899999,3,97,121.5
214,1993,5.98,1.8,114,111
214,1994,5.29,1.8,84,97.5
214,1995,5.1999998,1.6,89,130
214,1996,5.0599999,1.4,63,101.8
214,1997,4.8800001,1.4,71,121.6
215,1990,.92000002,.30000001,15,31.5
215,1991,.92000002,.30000001,16,31.5
215,1992,.82999998,.30000001,21,30.299999
215,1993,1.01,.30000001,20,20
215,1994,1.01,.30000001,21,21
215,1995,.97000003,.30000001,17,22.299999
215,1996,.37,.30000001,13,27.9
215,1997,.69,.30000001,16,22.700001
216,1990,1.15,.60000002,35,44
216,1991,2.1199999,.60000002,28,42
216,1992,2.3499999,.60000002,27,132
216,1993,1.84,.60000002,28,31
216,1994,2.21,.60000002,27,42
216,1995,2.3,.60000002,38,23.799999
216,1996,1.79,.60000002,19,22.1
216,1997,1.98,.60000002,28,23.1
217,1990,10.81,4.0500002,279,286.60001
217,1991,5.98,4.0500002,281,337
217,1992,16.469999,4.0500002,250,536.5
217,1993,17.99,3.55,200,467
217,1994,19.92,3.55,216,414
217,1995,19.73,3.55,232,609.29999
217,1996,10.12,3.55,179,1005.6
217,1997,14.03,3.55,144,445
218,1990,21.07,5.5,306,462
218,1991,18.120001,5.5,286,506
218,1992,21.85,5.5,335,549
218,1993,20.24,5.5,304,569.59998
218,1994,21.07,5.5,381,557.29999
218,1995,26.540001,7,436,845.09998
218,1996,22.719999,7,386,730.20001
218,1997,31.1,7,407,624.90002
219,1990,13.57,4,229,218
219,1991,15.32,4,208,218
219,1992,15.87,4,215,564
219,1993,6.21,4,206,352
219,1994,12.93,4,199,306
219,1995,16,4,217,378.60001
219,1996,6.4400001,4,270,478
219,1997,21.700001,4,192,515.5
220,1990,12.24,3.5,237,260.5
220,1991,13.11,3.5,197,316.60001
220,1992,14.63,3.5,186,526
220,1993,12.42,3.5,175,437.29999
220,1994,12.93,3.5,211,331.5
220,1995,12.37,3.5,224,428.10001
220,1996,11.22,3.5,200,445
220,1997,14.81,3.5,212,391.70001
221,1990,5.1100001,3,103,144.5
221,1991,5.8400002,3.5,129,312
221,1992,10.35,3.5,144,132
221,1993,4.46,3.5,112,106
221,1994,7.8699999,3.5,155,126
221,1995,14.16,3.5,180,260
221,1996,11.27,3.5,140,215.89999
221,1997,9.4300003,3.5,176,199.5
222,1990,5.4299998,1.38,86,100.5
222,1991,4.2800002,1.38,95,100.5
222,1992,5.9299998,1.38,105,100.5
222,1993,6.4400001,1.38,120,99.5
222,1994,3.1300001,1.38,86,131.3
222,1995,3.6800001,1.38,110,140.5
222,1996,3.9100001,1.38,108,170.10001
222,1997,4.5999999,1.38,63,192.5
223,1990,9.6599998,5.5,200,423.5
223,1991,12.88,5.5,204,599.5
223,1992,16.559999,5.5,209,615.5
223,1993,8.2799997,5.5,178,532
223,1994,15.18,5.5,224,540
223,1995,18,5.5,274,745
223,1996,10.58,5.5,291,1030.9
223,1997,19.09,5.5,341,660
224,1990,7.2199998,2.7,122,190.5
224,1991,5.9299998,2.7,92,192.5
224,1992,10.07,2.7,142,234
224,1993,6.5500002,2.7,129,82
224,1994,3.9100001,2.7,139.5,202.8
224,1995,8.6000004,2.7,178,272.39999
224,1996,4.8800001,2.7,134,179.5
224,1997,5.1500001,2.7,180,269
225,1990,12.47,4.5,194,490.5
225,1991,13.75,4.5,152,423.5
225,1992,14.9,4.5,185,427
225,1993,14.86,4.5,174,346.29999
225,1994,8.6000004,4.5,220,577.5
225,1995,12.05,4.5,234,707.79999
225,1996,10.44,4.5,176,335
225,1997,16.049999,4.5,166,267.79999
226,1990,3.1700001,1.1,61,80.900002
226,1991,2.53,1.1,70,67
226,1992,4.3200002,1.1,74,105
226,1993,3.1700001,1.1,71,123
226,1994,4.0900002,1.1,45,121.5
226,1995,4.1399999,1.1,48,131.39999
226,1996,3.22,1.1,43,120.2
226,1997,4.2800002,1.1,42,139.7
227,1990,5.0599999,2.5,117,274.5
227,1991,5.98,2.5,69,155.2
227,1992,8.9200001,2.5,105,332.5
227,1993,3.73,1.3,55,154
227,1994,2.76,1.3,54,87
227,1995,5.1100001,1.3,64,202.89999
227,1996,3.3099999,1.3,67,197
227,1997,9.3400002,2.5,121,188.60001
228,1990,5.52,1.4,78,128.8
228,1991,6.3899999,1.4,76,157
228,1992,6.5300002,1.4,94,123.5
228,1993,5.6599998,1.3,91,191
228,1994,5.29,1.3,77,144
228,1995,5.3800001,1.3,91,172.39999
228,1996,2.53,.5,44,67.800003
228,1997,2.76,.5,41,70.199997
229,1990,4.1399999,2,84,63
229,1991,2.8099999,2,54,67
229,1992,3.04,2,42,42
229,1993,6.9000001,2,80,126
229,1994,3.1700001,2,90,73.5
229,1995,2.6600001,1.5,201,179.5
229,1996,3.6300001,1.5,68,143.89999
229,1997,6.0500002,2,61,174
230,1990,2.6900001,2.5,30,65
230,1991,3.1700001,1.75,42,75.5
230,1992,.87,.40000001,29,10.5
230,1993,1.2,.40000001,26,20
230,1994,1.0599999,.40000001,20,21
230,1995,.94999999,.40000001,16,22.299999
230,1996,1.0599999,.40000001,27,35.700001
230,1997,.090000004,.25,8,13
231,1990,3.8199999,.75,39,44
231,1991,1.79,.75,45,44
231,1992,2.8099999,.75,35,42
231,1993,2.53,.75,72,56
231,1994,2.3499999,.75,33,31.5
231,1995,3.1300001,.75,31,69.800003
231,1996,1.0599999,.75,27,48.099998
231,1997,3.6199999,.75,22,48.099998
232,1990,1.15,.81,25,67
232,1991,2.3,.81,31,67
232,1992,2.8099999,.81,32,54.5
232,1993,3.53,.81,72,69.300003
232,1994,2.3800001,.81,37,67.199997
232,1995,1.51,.61000001,51,70.599998
232,1996,1.84,.61000001,30,90.5
232,1997,6.1599998,.81,43,73.199997
233,1990,5.0599999,1.6,102,110.5
233,1991,5.0599999,1.6,102,120.5
233,1992,4.5500002,1.6,80,102
233,1993,2.3,.60000002,51,41
233,1994,5.1500001,1.4,52,132
233,1995,2.54,.60000002,29,91.300003
233,1996,1.33,.60000002,23,57.599998
233,1997,2.8,.60000002,35,47.700001
234,1990,.69,1,29,21
234,1991,.63999999,1,22,21
234,1992,1.15,1,31,23
234,1993,1.66,1,63,10
234,1994,.60000002,1,18,10.5
234,1995,2,1,46,73.099998
234,1996,1.89,1,48,83.900002
234,1997,1.9299999,1,29,170.3
235,1990,12.65,3,191,306.5
235,1991,7.54,2,89,157.5
235,1992,6.9499998,2,122,105
235,1993,6.4899998,2,121,111
235,1994,5.6100001,2,135,261
235,1995,7.77,2.4000001,153,256
235,1996,8.9099998,2.4000001,146,224.89999
235,1997,10.72,2.4000001,136,216.3
236,1990,2.0699999,1.1,101,125.5
236,1991,3.0799999,1.1,79,102.4
236,1992,2.9400001,1.1,69,67
236,1993,4.8299999,2.0999999,104,165
236,1994,4.8299999,2.0999999,121,133.5
236,1995,4.8299999,2.0999999,92,118
236,1996,3.8199999,2.0999999,89,138.3
236,1997,7.6399999,2.0999999,86,204.39999
237,1990,3.6800001,1,73,113
237,1991,2.3,1,51,115
237,1992,3.27,1,62,68.5
237,1993,2.3,1,59,66
237,1994,1.4299999,1,61,135
237,1995,6.5799999,1,57,3.4000001
237,1996,2.53,1,43,135.7
237,1997,4.23,1,52,109.8
238,1990,5.0599999,1,58,145
238,1991,5.29,1,74,144.5
238,1992,5.52,1,51,194.5
238,1993,5.75,1,59,264
238,1994,3.1700001,1,60,63
238,1995,3.9100001,1,61,121.4
238,1996,2.21,1,43,44
238,1997,3.22,1,54,67.5
239,1990,17.02,4.5999999,246,249
239,1991,13.71,4.5999999,236,262
239,1992,16.24,4.5999999,219,375.5
239,1993,12.17,4.5999999,139,193
239,1994,9.8900003,4.5999999,194,379.5
239,1995,2.9000001,.60000002,37,69.699997
239,1996,2.3499999,.60000002,33,68.199997
239,1997,3.6800001,.60000002,26,73.400002
240,1990,1.38,.80000001,46,33.5
240,1991,.92000002,.80000001,30,33.5
240,1992,1.38,.80000001,27,21
240,1993,1.84,.80000001,34,20
240,1994,1.61,.40000001,22,21
240,1995,1.53,.40000001,20,31.9
240,1996,1.1,.40000001,27,46.099998
240,1997,1.52,.80000001,26,24.4
241,1990,3.96,1.75,113,167.5
241,1991,3.3599999,1.75,99,167.5
241,1992,4,1.75,78,151
241,1993,4.46,1.75,99,151.5
241,1994,4.8299999,1.75,124,150
241,1995,5.1100001,1.75,157,149
241,1996,2.76,1.5,78,156.3
241,1997,5.5,1.75,62,180.89999
242,1990,4.1399999,1.3,80,79.5
242,1991,5.0599999,1.3,70,67
242,1992,5.0599999,1.3,73,68.5
242,1993,3.6800001,1.3,62,30
242,1994,2.3,1.3,50,31.5
242,1995,4.5999999,1.3,74,22.700001
242,1996,2.76,1.3,50,36.5
242,1997,5.29,1.3,52,54.200001
243,1990,8.6000004,2.3,76,109
243,1991,7.6399999,2.3,85,132
243,1992,7.54,2.3,83,161
243,1993,5.1100001,2.3,60,114.9
243,1994,3.5899999,1.65,62,99.800003
243,1995,7.2199998,2.3,126,237
243,1996,4.9699998,2.3,74,157.10001
243,1997,7.6799998,2.3,82,205
244,1990,1.79,1.5,87,94.5
244,1991,1.75,1.5,90,115.5
244,1992,2.71,1,66,70.300003
244,1993,3.3099999,2,67,68
244,1994,5.6100001,2,96,94.5
244,1995,7.7800002,1.75,97,129.39999
244,1996,3.7,1.75,35,107.1
244,1997,7.73,2,82,118.4
